Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
RPGLIFE.NS,^CNXPHARMA,RPGLIFE.NS,^CNXPHARMA,RPGLIFE.NS,^CNXPHARMA,RPGLIFE.NS,^CNXPHARMA,RPGLIFE.NS,^CNXPHARMA
291.42181396484375,8047.10009765625,296.7270334601997,8076.64990234375,284.2414530907189,8018.9501953125,284.2414530907189,8060.2998046875,111763,8898000.0
296.9557189941406,8053.9501953125,304.41047748121474,8102.39990234375,288.12891804020836,8027.14990234375,292.61091784908984,8056.75,168895,12949000.0
289.0893249511719,8111.9501953125,299.2424443796125,8189.7998046875,286.52819028195904,8026.2998046875,295.9038134276576,8053.0,63752,26218000.0
270.8411560058594,7987.35009765625,289.08930187444895,8085.5,266.9994263944341,7943.14990234375,289.08930187444895,8076.85009765625,402989,17516000.0
276.6037292480469,8036.5,280.94852997703754,8087.64990234375,272.899226107985,7973.9501953125,276.2378568747759,8014.10009765625,50139,27940000.0
276.878173828125,7996.14990234375,278.9819610572732,8041.60009765625,261.19113303069787,7960.0498046875,261.19113303069787,7975.7001953125,24955,12772000.0
281.63458251953125,8033.14990234375,288.95214245723537,8090.9501953125,279.4393201210752,8015.14990234375,280.71988752731824,8057.7998046875,41942,13985000.0
277.4269714355469,8058.5,284.4244102420728,8171.2001953125,276.2378791479709,8044.35009765625,280.81135396830155,8048.5498046875,39871,15905000.0
278.661865234375,8078.4501953125,284.0128373174142,8141.2998046875,277.01542516926145,8042.64990234375,280.719929272907,8082.2998046875,46500,15316000.0
277.8385925292969,8117.0,281.72604608731996,8136.39990234375,274.4084864486883,8081.2998046875,279.1649113795088,8104.14990234375,24049,17192000.0
287.67156982421875,8166.2001953125,292.1535696217728,8178.85009765625,277.9757975000704,8080.35009765625,279.53079012428987,8135.75,70472,19694000.0
284.1042785644531,8203.099609375,291.60476097380433,8223.849609375,282.777959620818,8175.35009765625,288.9521510008109,8188.0498046875,30502,20296000.0
293.6170959472656,8345.2998046875,298.32776962960793,8371.599609375,282.00045824407766,8200.0,282.00045824407766,8208.2998046875,84318,25016000.0
309.0754089355469,8269.349609375,321.46954189223294,8375.2001953125,293.1597228563117,8251.0,296.3611550871919,8353.7001953125,416151,18242000.0
309.1669006347656,8274.2001953125,316.48446041310325,8313.4501953125,306.8801632040351,8214.5498046875,309.0754255546813,8249.150390625,103398,15648000.0
302.7183532714844,8256.650390625,313.1458717859418,8372.2998046875,301.9408568568113,8245.4501953125,308.2522474381188,8295.0,35279,25048000.0
300.52301025390625,8300.2001953125,315.5240295455499,8322.4501953125,297.45880454771884,8208.5498046875,304.639137468602,8245.9501953125,115366,19859000.0
301.3462829589844,8294.0498046875,309.99013407639643,8349.25,297.32160257356287,8273.9501953125,299.10526901320543,8291.75,65305,22173000.0
300.4772644042969,8416.349609375,305.0964623260818,8471.7998046875,297.27583236345964,8240.099609375,300.75166169923125,8270.0498046875,39530,31445000.0
301.57489013671875,8420.25,306.4227614658434,8513.150390625,299.28815311085424,8395.650390625,301.7120887754166,8427.7998046875,25192,27889000.0
299.47113037109375,8412.7998046875,306.37709420717374,8492.4501953125,298.19056298407855,8361.25,304.50195275272694,8446.2001953125,25821,22105000.0
295.9495544433594,8237.0498046875,302.672568238938,8438.2001953125,294.4860647828948,8207.599609375,300.8431782490813,8426.25,19164,30303000.0
285.476318359375,8138.60009765625,301.6664032966291,8299.349609375,276.5122905079258,8122.9501953125,301.6664032966291,8256.2001953125,93171,19900000.0
261.37408447265625,7967.5498046875,268.7373677251611,8122.0,251.99846114511567,7944.89990234375,258.4470494388361,8020.9501953125,39721,21277000.0
267.182373046875,8122.39990234375,271.61864868176804,8166.7998046875,261.83140255589154,7967.7998046875,264.34681341014027,8002.64990234375,31271,35927000.0
261.1453857421875,8125.60009765625,271.6643767615751,8185.0,257.12073389153716,8091.60009765625,269.6977883712397,8151.2001953125,30375,25124000.0
261.5112609863281,8227.900390625,267.45677771490347,8281.25,260.367892384679,8176.60009765625,262.33448079666096,8194.0,23284,43117000.0
259.08734130859375,8341.849609375,269.6520566816811,8363.2998046875,258.4013201047758,8180.0498046875,262.51744732768367,8243.0498046875,21672,53299000.0
257.44091796875,8261.25,261.41981887269327,8371.2001953125,256.3432728070771,8235.0,261.41981887269327,8340.150390625,16286,26095000.0
258.2183837890625,8324.650390625,267.73123398987605,8359.5,257.02929147109865,8280.9501953125,259.63617776816244,8303.2998046875,33463,23370000.0
261.5570373535156,8265.0498046875,265.0785906500831,8375.0,257.30368341946115,8238.9501953125,257.3494349164416,8341.7001953125,22530,22810000.0
266.4963684082031,8335.7001953125,268.7373541958398,8351.5498046875,258.26411419358794,8246.9501953125,263.29493621363054,8292.0,34577,20839000.0
265.3529968261719,8331.7001953125,270.7496911686381,8384.099609375,263.5693306003989,8294.2001953125,267.27386170447966,8349.900390625,23575,18664000.0
257.44091796875,8204.849609375,266.313442687548,8377.349609375,256.8006203053948,8193.599609375,265.35302410679117,8342.599609375,13814,28572000.0
251.40391540527344,8198.2998046875,258.4013262682671,8213.0,245.59559682488396,8068.2001953125,258.4013262682671,8190.85009765625,13797,22601000.0
258.2183837890625,8378.650390625,259.68190135182425,8390.400390625,252.7302138644127,8276.150390625,255.10842641461608,8277.400390625,15918,45594000.0
253.55345153808594,8364.349609375,260.1392384355569,8473.7998046875,250.62641652969353,8348.75,256.11458623472333,8401.5498046875,18982,36971000.0
255.52005004882812,8115.5498046875,260.00204989959843,8281.9501953125,247.88234132908065,8086.64990234375,247.88234132908065,8275.9501953125,11654,50488000.0
