RPG Life Sciences,Sun Pharma (Peer),Nifty Pharma Index
157.14459228515625,349.33953857421875,6959.35009765625
153.94314575195312,350.8561706542969,6979.10009765625
147.35736083984375,343.8418884277344,6705.75
147.12867736816406,341.6143493652344,6655.5
154.03463745117188,346.2115478515625,6951.89990234375
137.20425415039062,307.5856628417969,6432.2998046875
141.90301513671875,317.6805114746094,6611.0498046875
145.6150360107422,329.5289611816406,6695.5498046875
152.19334411621094,320.6663513183594,6775.0
155.38851928710938,320.6189880371094,6813.0498046875
149.6090087890625,315.3583068847656,6896.0
159.57041931152344,333.93658447265625,7176.5
161.8258056640625,325.6427001953125,7026.7001953125
168.16915893554688,356.3538818359375,7361.60009765625
196.45579528808594,395.5959167480469,8124.85009765625
211.02200317382812,413.9373474121094,8412.2001953125
223.3797607421875,430.76214599609375,8800.4501953125
221.78219604492188,438.25030517578125,9044.349609375
225.4002685546875,425.7857360839844,9038.7998046875
226.1990509033203,439.5299377441406,9199.2998046875
222.29905700683594,433.2739562988281,9157.75
224.131591796875,448.7243347167969,9149.2001953125
219.94967651367188,448.4874267578125,9381.650390625
215.20388793945312,449.62481689453125,9377.0
216.70751953125,452.56329345703125,9388.900390625
235.97251892089844,460.2409973144531,9518.4501953125
238.2279052734375,464.3642883300781,9602.0498046875
232.683349609375,449.24566650390625,9386.2001953125
239.0736846923828,452.7528076171875,9385.4501953125
230.6628875732422,440.2408447265625,9327.099609375
234.3279266357422,441.1887512207031,9364.599609375
237.05322265625,432.515625,9181.5
233.5291290283203,430.7147216796875,9227.150390625
230.1929931640625,428.62939453125,9148.099609375
231.17974853515625,444.5537109375,9343.349609375
225.3062744140625,439.6721496582031,9307.2998046875
219.85569763183594,439.7194519042969,9246.650390625
223.7086944580078,428.7715759277344,9147.75
223.2858123779297,432.1839599609375,9172.2001953125
222.29905700683594,425.2170104980469,9093.0
209.33045959472656,417.7288513183594,9092.650390625
207.8738250732422,418.6766662597656,9084.599609375
222.20509338378906,431.99432373046875,9456.7998046875
238.18092346191406,442.1365966796875,9520.5498046875
231.55564880371094,444.9327697753906,9600.650390625
226.574951171875,435.2170715332031,9483.5
