Solar_Radiation (W/m2),Temperature (C),Energy_Generated_kWh
0.0,25.4,0.0
0.0,23.7,0.0
0.0,21.9,0.0
0.0,24.2,0.0
0.0,20.7,0.0
0.0,22.0,0.0
0.0,20.6,0.0
5.0,20.5,3.75
127.0,23.0,95.25
344.0,26.5,258.0
553.0,29.8,414.75
717.0,32.3,537.75
820.0,34.2,615.0
848.0,35.4,636.0
803.0,35.9,602.25
688.0,35.3,516.0
511.0,34.9,383.25
293.0,34.0,219.75
81.0,30.2,60.75
0.0,28.5,0.0
0.0,27.6,0.0
0.0,26.7,0.0
0.0,25.5,0.0
0.0,24.5,0.0
0.0,23.8,0.0
0.0,23.2,0.0
0.0,22.2,0.0
0.0,23.2,0.0
0.0,21.8,0.0
0.0,21.1,0.0
0.0,20.6,0.0
6.0,20.0,4.5
131.0,23.4,98.25
351.0,27.3,263.25
562.0,30.0,421.5
728.0,32.2,546.0
829.0,33.9,621.75
858.0,34.3,643.5
812.0,34.5,609.0
693.0,34.5,519.75
512.0,34.2,384.0
291.0,33.2,218.25
80.0,30.2,60.0
0.0,28.0,0.0
0.0,26.8,0.0
0.0,25.6,0.0
0.0,24.6,0.0
0.0,23.9,0.0
0.0,22.3,0.0
0.0,21.5,0.0
0.0,21.0,0.0
0.0,20.6,0.0
0.0,21.5,0.0
0.0,21.3,0.0
0.0,19.0,0.0
6.0,19.4,4.5
132.0,23.0,99.0
350.0,25.6,262.5
559.0,28.0,419.25
723.0,30.2,542.25
823.0,32.2,617.25
851.0,33.2,638.25
806.0,33.4,604.5
688.0,33.3,516.0
510.0,32.9,382.5
291.0,31.7,218.25
80.0,28.5,60.0
0.0,26.5,0.0
0.0,24.9,0.0
0.0,24.1,0.0
0.0,23.6,0.0
0.0,23.2,0.0
0.0,23.0,0.0
0.0,22.5,0.0
0.0,22.0,0.0
0.0,21.3,0.0
0.0,20.6,0.0
0.0,20.2,0.0
0.0,20.4,0.0
6.0,20.5,4.5
128.0,22.7,96.0
330.0,24.8,247.5
358.0,26.2,268.5
585.0,28.2,438.75
679.0,29.2,509.25
798.0,30.1,598.5
758.0,30.6,568.5
660.0,31.0,495.0
493.0,31.4,369.75
257.0,30.8,192.75
80.0,27.5,60.0
0.0,25.5,0.0
0.0,23.9,0.0
0.0,23.4,0.0
0.0,23.0,0.0
0.0,22.8,0.0
0.0,22.4,0.0
0.0,21.9,0.0
0.0,21.4,0.0
0.0,20.9,0.0
0.0,20.2,0.0
0.0,19.3,0.0
0.0,20.0,0.0
7.0,20.5,5.25
136.0,22.8,102.0
355.0,24.4,266.25
562.0,26.1,421.5
726.0,27.8,544.5
828.0,29.2,621.0
857.0,30.4,642.75
808.0,31.1,606.0
689.0,31.0,516.75
505.0,31.0,378.75
285.0,30.3,213.75
83.0,27.9,62.25
0.0,25.8,0.0
0.0,23.9,0.0
0.0,22.8,0.0
0.0,22.0,0.0
0.0,21.4,0.0
0.0,20.8,0.0
0.0,20.1,0.0
0.0,19.2,0.0
0.0,19.5,0.0
0.0,18.2,0.0
0.0,18.5,0.0
0.0,18.8,0.0
7.0,19.1,5.25
120.0,20.3,90.0
335.0,22.9,251.25
584.0,25.5,438.0
753.0,27.9,564.75
856.0,29.5,642.0
884.0,30.2,663.0
835.0,30.9,626.25
714.0,31.0,535.5
531.0,30.9,398.25
307.0,30.1,230.25
89.0,26.5,66.75
0.0,27.5,0.0
0.0,24.0,0.0
0.0,22.0,0.0
0.0,21.0,0.0
0.0,21.3,0.0
0.0,21.2,0.0
0.0,20.5,0.0
0.0,20.1,0.0
0.0,19.4,0.0
0.0,18.7,0.0
0.0,18.0,0.0
0.0,17.1,0.0
8.0,16.5,6.0
150.0,19.8,112.5
381.0,22.8,285.75
598.0,25.9,448.5
769.0,28.5,576.75
873.0,29.9,654.75
902.0,30.7,676.5
854.0,31.1,640.5
731.0,31.1,548.25
544.0,30.9,408.0
316.0,30.0,237.0
92.0,26.1,69.0
0.0,24.1,0.0
0.0,22.2,0.0
0.0,21.0,0.0
0.0,20.1,0.0
0.0,19.3,0.0
0.0,18.6,0.0
0.0,17.8,0.0
0.0,17.9,0.0
0.0,17.6,0.0
0.0,17.0,0.0
0.0,16.8,0.0
0.0,17.4,0.0
9.0,17.4,6.75
151.0,19.9,113.25
380.0,23.2,285.0
596.0,26.4,447.0
765.0,29.2,573.75
867.0,30.9,650.25
894.0,31.8,670.5
842.0,32.2,631.5
718.0,32.3,538.5
533.0,32.0,399.75
309.0,31.3,231.75
90.0,27.6,67.5
0.0,25.7,0.0
0.0,24.6,0.0
0.0,23.8,0.0
0.0,23.0,0.0
0.0,22.1,0.0
0.0,21.8,0.0
0.0,21.1,0.0
0.0,20.1,0.0
0.0,19.2,0.0
0.0,18.8,0.0
0.0,18.0,0.0
0.0,18.9,0.0
7.0,19.5,5.25
117.0,22.0,87.75
319.0,25.6,239.25
533.0,29.1,399.75
607.0,31.4,455.25
697.0,33.5,522.75
709.0,34.7,531.75
639.0,35.2,479.25
608.0,35.5,456.0
425.0,35.5,318.75
249.0,34.8,186.75
84.0,30.2,63.0
1.0,28.0,0.75
0.0,27.4,0.0
0.0,27.8,0.0
0.0,26.0,0.0
0.0,26.5,0.0
0.0,23.3,0.0
0.0,22.4,0.0
0.0,23.8,0.0
0.0,21.9,0.0
0.0,20.5,0.0
0.0,19.8,0.0
0.0,20.0,0.0
9.0,20.5,6.75
148.0,23.9,111.0
369.0,27.1,276.75
578.0,29.9,433.5
742.0,32.5,556.5
840.0,34.5,630.0
864.0,35.6,648.0
815.0,36.2,611.25
693.0,36.3,519.75
514.0,35.8,385.5
298.0,34.5,223.5
88.0,31.5,66.0
1.0,29.1,0.75
0.0,27.0,0.0
0.0,26.4,0.0
0.0,26.0,0.0
0.0,25.0,0.0
0.0,23.9,0.0
0.0,22.9,0.0
0.0,22.3,0.0
0.0,22.0,0.0
0.0,21.6,0.0
0.0,20.9,0.0
0.0,19.6,0.0
10.0,20.0,7.5
152.0,22.7,114.0
374.0,26.4,280.5
584.0,30.2,438.0
748.0,33.4,561.0
848.0,35.0,636.0
873.0,35.8,654.75
800.0,36.2,600.0
697.0,36.3,522.75
523.0,36.0,392.25
301.0,35.2,225.75
91.0,31.9,68.25
1.0,30.0,0.75
0.0,29.1,0.0
0.0,27.9,0.0
0.0,26.5,0.0
0.0,26.0,0.0
0.0,25.4,0.0
0.0,24.9,0.0
0.0,24.8,0.0
0.0,24.2,0.0
0.0,23.5,0.0
0.0,22.6,0.0
0.0,22.1,0.0
11.0,22.5,8.25
153.0,25.4,114.75
375.0,28.8,281.25
585.0,32.8,438.75
747.0,36.0,560.25
846.0,37.7,634.5
769.0,38.2,576.75
666.0,38.5,499.5
593.0,38.4,444.75
479.0,37.8,359.25
276.0,35.9,207.0
93.0,32.8,69.75
1.0,30.5,0.75
0.0,29.3,0.0
0.0,28.4,0.0
0.0,28.5,0.0
0.0,26.0,0.0
0.0,25.0,0.0
0.0,24.4,0.0
0.0,24.4,0.0
0.0,23.6,0.0
0.0,22.3,0.0
0.0,23.3,0.0
0.0,22.3,0.0
12.0,23.2,9.0
155.0,26.0,116.25
376.0,28.9,282.0
585.0,32.0,438.75
745.0,34.7,558.75
840.0,36.0,630.0
868.0,37.2,651.0
815.0,37.7,611.25
630.0,37.0,472.5
519.0,36.0,389.25
303.0,34.2,227.25
93.0,31.4,69.75
1.0,29.5,0.75
0.0,28.0,0.0
0.0,26.8,0.0
0.0,25.9,0.0
0.0,25.2,0.0
0.0,24.6,0.0
0.0,24.1,0.0
0.0,24.1,0.0
0.0,23.4,0.0
0.0,22.5,0.0
0.0,21.9,0.0
0.0,22.5,0.0
11.0,23.1,8.25
133.0,24.9,99.75
337.0,26.4,252.75
584.0,28.5,438.0
746.0,30.5,559.5
840.0,31.9,630.0
860.0,32.2,645.0
798.0,32.5,598.5
629.0,32.7,471.75
492.0,31.9,369.0
274.0,29.7,205.5
88.0,27.5,66.0
1.0,26.2,0.75
0.0,25.5,0.0
0.0,25.4,0.0
0.0,25.2,0.0
0.0,24.8,0.0
0.0,24.4,0.0
0.0,23.4,0.0
0.0,22.9,0.0
0.0,22.2,0.0
0.0,21.4,0.0
0.0,20.2,0.0
0.0,20.8,0.0
13.0,20.0,9.75
162.0,20.7,121.5
391.0,22.0,293.25
608.0,23.5,456.0
780.0,25.1,585.0
886.0,26.4,664.5
915.0,27.4,686.25
867.0,27.9,650.25
746.0,27.9,559.5
559.0,27.2,419.25
329.0,26.4,246.75
101.0,23.6,75.75
1.0,21.6,0.75
0.0,22.5,0.0
0.0,22.1,0.0
0.0,21.4,0.0
0.0,18.4,0.0
0.0,17.9,0.0
0.0,17.0,0.0
0.0,17.6,0.0
0.0,16.2,0.0
0.0,15.9,0.0
0.0,15.6,0.0
0.0,16.1,0.0
15.0,16.9,11.25
169.0,19.8,126.75
397.0,22.4,297.75
613.0,24.8,459.75
781.0,26.4,585.75
883.0,27.6,662.25
911.0,28.5,683.25
860.0,29.2,645.0
736.0,29.6,552.0
550.0,29.6,412.5
324.0,29.1,243.0
103.0,26.5,77.25
1.0,23.9,0.75
0.0,22.9,0.0
0.0,22.1,0.0
0.0,21.6,0.0
0.0,20.8,0.0
0.0,19.4,0.0
0.0,18.5,0.0
0.0,17.9,0.0
0.0,16.6,0.0
0.0,16.5,0.0
0.0,15.6,0.0
0.0,15.7,0.0
16.0,16.6,12.0
180.0,19.5,135.0
416.0,22.9,312.0
634.0,26.1,475.5
804.0,28.5,603.0
907.0,30.1,680.25
933.0,31.1,699.75
881.0,32.0,660.75
753.0,32.3,564.75
563.0,32.2,422.25
332.0,31.3,249.0
105.0,27.8,78.75
1.0,25.0,0.75
0.0,24.0,0.0
0.0,22.1,0.0
0.0,20.9,0.0
0.0,20.6,0.0
0.0,20.0,0.0
0.0,18.9,0.0
0.0,17.6,0.0
0.0,17.0,0.0
0.0,16.5,0.0
0.0,15.8,0.0
0.0,15.9,0.0
17.0,17.0,12.75
179.0,20.0,134.25
412.0,23.1,309.0
627.0,26.6,470.25
792.0,29.7,594.0
891.0,31.4,668.25
915.0,32.7,686.25
861.0,33.5,645.75
734.0,33.5,550.5
547.0,33.0,410.25
323.0,31.9,242.25
101.0,29.0,75.75
1.0,26.4,0.75
0.0,24.8,0.0
0.0,24.6,0.0
0.0,24.0,0.0
0.0,21.1,0.0
0.0,21.5,0.0
0.0,22.7,0.0
0.0,22.3,0.0
0.0,19.6,0.0
0.0,19.5,0.0
0.0,18.5,0.0
0.0,21.0,0.0
17.0,20.5,12.75
176.0,22.6,132.0
404.0,26.1,303.0
617.0,29.1,462.75
782.0,30.9,586.5
881.0,32.2,660.75
899.0,33.0,674.25
852.0,33.5,639.0
727.0,33.8,545.25
543.0,33.7,407.25
319.0,33.0,239.25
101.0,29.2,75.75
2.0,27.0,1.5
0.0,26.0,0.0
0.0,24.0,0.0
0.0,23.1,0.0
0.0,22.4,0.0
0.0,21.0,0.0
0.0,20.2,0.0
0.0,20.5,0.0
0.0,19.5,0.0
0.0,19.0,0.0
0.0,18.4,0.0
0.0,18.6,0.0
18.0,19.5,13.5
181.0,22.9,135.75
409.0,26.4,306.75
621.0,29.3,465.75
786.0,31.2,589.5
885.0,32.5,663.75
910.0,33.3,682.5
858.0,34.0,643.5
734.0,34.2,550.5
549.0,33.9,411.75
325.0,33.1,243.75
104.0,29.0,78.0
2.0,26.5,1.5
0.0,26.0,0.0
0.0,25.5,0.0
0.0,24.5,0.0
0.0,23.5,0.0
0.0,22.7,0.0
0.0,22.0,0.0
0.0,21.4,0.0
0.0,20.5,0.0
0.0,19.6,0.0
0.0,19.0,0.0
0.0,19.5,0.0
20.0,20.0,15.0
187.0,23.0,140.25
420.0,26.5,315.0
636.0,29.9,477.0
801.0,32.0,600.75
901.0,33.0,675.75
926.0,33.8,694.5
872.0,34.5,654.0
746.0,34.5,559.5
559.0,33.6,419.25
332.0,32.2,249.0
108.0,29.0,81.0
2.0,26.8,1.5
0.0,25.9,0.0
0.0,24.6,0.0
0.0,24.0,0.0
0.0,23.4,0.0
0.0,21.8,0.0
0.0,23.8,0.0
0.0,23.0,0.0
0.0,22.4,0.0
0.0,22.0,0.0
0.0,20.2,0.0
0.0,18.4,0.0
21.0,19.5,15.75
188.0,23.2,141.0
418.0,26.5,313.5
630.0,29.1,472.5
794.0,31.8,595.5
892.0,33.5,669.0
917.0,34.3,687.75
865.0,34.6,648.75
739.0,34.5,554.25
552.0,34.3,414.0
325.0,34.0,243.75
104.0,30.6,78.0
2.0,29.1,1.5
0.0,29.3,0.0
0.0,25.0,0.0
0.0,23.9,0.0
0.0,22.8,0.0
0.0,22.0,0.0
0.0,21.5,0.0
0.0,20.8,0.0
0.0,20.1,0.0
0.0,19.5,0.0
0.0,20.9,0.0
0.0,21.6,0.0
21.0,21.8,15.75
185.0,25.0,138.75
412.0,28.4,309.0
624.0,31.3,468.0
788.0,33.3,591.0
887.0,34.8,665.25
910.0,35.7,682.5
857.0,36.3,642.75
732.0,36.5,549.0
548.0,36.4,411.0
324.0,35.2,243.0
104.0,32.5,78.0
2.0,30.0,1.5
0.0,27.5,0.0
0.0,26.4,0.0
0.0,26.0,0.0
0.0,25.2,0.0
0.0,23.0,0.0
0.0,23.1,0.0
0.0,22.5,0.0
0.0,21.9,0.0
0.0,21.6,0.0
0.0,21.5,0.0
0.0,22.0,0.0
22.0,23.0,16.5
188.0,26.0,141.0
416.0,28.5,312.0
627.0,30.9,470.25
790.0,33.0,592.5
888.0,34.5,666.0
911.0,35.3,683.25
857.0,36.1,642.75
732.0,36.5,549.0
548.0,35.9,411.0
327.0,34.6,245.25
107.0,32.0,80.25
2.0,29.4,1.5
0.0,27.8,0.0
0.0,27.0,0.0
0.0,25.9,0.0
0.0,24.5,0.0
0.0,24.4,0.0
0.0,22.6,0.0
0.0,22.2,0.0
0.0,22.1,0.0
0.0,22.0,0.0
0.0,21.0,0.0
0.0,22.8,0.0
24.0,23.2,18.0
195.0,25.6,146.25
425.0,27.9,318.75
636.0,30.1,477.0
799.0,32.0,599.25
898.0,33.4,673.5
922.0,34.5,691.5
871.0,35.4,653.25
747.0,35.5,560.25
562.0,35.0,421.5
338.0,34.0,253.5
112.0,30.9,84.0
2.0,27.4,1.5
0.0,26.4,0.0
0.0,26.2,0.0
0.0,24.5,0.0
0.0,23.4,0.0
0.0,22.4,0.0
0.0,21.4,0.0
0.0,21.0,0.0
0.0,20.5,0.0
0.0,21.7,0.0
0.0,22.0,0.0
0.0,21.8,0.0
26.0,22.4,19.5
198.0,24.5,148.5
428.0,26.6,321.0
641.0,28.8,480.75
805.0,30.9,603.75
903.0,32.2,677.25
925.0,33.0,693.75
871.0,33.8,653.25
745.0,34.3,558.75
558.0,34.3,418.5
334.0,33.4,250.5
113.0,30.5,84.75
2.0,27.8,1.5
0.0,26.4,0.0
0.0,25.1,0.0
0.0,24.1,0.0
0.0,23.1,0.0
0.0,21.8,0.0
0.0,21.0,0.0
0.0,20.5,0.0
0.0,19.5,0.0
0.0,19.1,0.0
0.0,18.6,0.0
0.0,19.7,0.0
27.0,20.5,20.25
204.0,23.8,153.0
437.0,26.7,327.75
652.0,29.2,489.0
818.0,31.5,613.5
918.0,32.9,688.5
941.0,33.7,705.75
886.0,34.2,664.5
758.0,34.8,568.5
569.0,34.9,426.75
340.0,34.0,255.0
116.0,30.8,87.0
3.0,26.6,2.25
0.0,27.0,0.0
0.0,29.1,0.0
0.0,24.8,0.0
0.0,23.4,0.0
0.0,22.2,0.0
0.0,21.4,0.0
0.0,20.0,0.0
0.0,19.4,0.0
0.0,18.8,0.0
0.0,18.5,0.0
0.0,19.5,0.0
29.0,20.4,21.75
208.0,24.0,156.0
440.0,27.4,330.0
654.0,30.2,490.5
819.0,32.7,614.25
919.0,34.3,689.25
942.0,35.2,706.5
886.0,35.6,664.5
757.0,35.8,567.75
567.0,35.8,425.25
339.0,35.2,254.25
114.0,32.0,85.5
3.0,29.2,2.25
0.0,26.8,0.0
0.0,25.1,0.0
0.0,23.9,0.0
0.0,23.2,0.0
0.0,21.7,0.0
0.0,21.1,0.0
0.0,19.9,0.0
0.0,19.6,0.0
0.0,20.2,0.0
0.0,18.3,0.0
0.0,19.2,0.0
30.0,20.5,22.5
211.0,24.2,158.25
447.0,28.2,335.25
662.0,31.2,496.5
825.0,33.9,618.75
924.0,35.5,693.0
946.0,36.3,709.5
888.0,37.0,666.0
757.0,37.0,567.75
567.0,36.2,425.25
340.0,35.1,255.0
115.0,32.2,86.25
3.0,29.1,2.25
0.0,26.5,0.0
0.0,24.9,0.0
0.0,23.8,0.0
0.0,23.3,0.0
0.0,22.8,0.0
0.0,22.2,0.0
0.0,21.9,0.0
0.0,20.9,0.0
0.0,20.4,0.0
0.0,20.7,0.0
0.0,21.9,0.0
31.0,22.5,23.25
211.0,25.0,158.25
442.0,27.9,331.5
653.0,30.5,489.75
813.0,33.0,609.75
910.0,35.4,682.5
930.0,36.5,697.5
877.0,37.0,657.75
748.0,37.2,561.0
561.0,37.0,420.75
336.0,36.3,252.0
113.0,33.9,84.75
3.0,30.0,2.25
0.0,29.4,0.0
0.0,28.6,0.0
0.0,26.8,0.0
0.0,26.6,0.0
0.0,24.6,0.0
0.0,24.0,0.0
0.0,23.8,0.0
0.0,21.7,0.0
0.0,20.7,0.0
0.0,21.4,0.0
0.0,22.2,0.0
34.0,22.5,25.5
221.0,25.8,165.75
459.0,28.9,344.25
675.0,31.5,506.25
839.0,34.0,629.25
937.0,35.8,702.75
959.0,36.8,719.25
903.0,37.2,677.25
770.0,37.0,577.5
575.0,36.8,431.25
344.0,36.3,258.0
118.0,32.5,88.5
3.0,29.3,2.25
0.0,28.0,0.0
0.0,27.4,0.0
0.0,27.8,0.0
0.0,27.3,0.0
0.0,27.0,0.0
0.0,25.7,0.0
0.0,24.1,0.0
0.0,23.3,0.0
0.0,25.6,0.0
0.0,22.6,0.0
0.0,22.0,0.0
35.0,23.5,26.25
222.0,27.1,166.5
457.0,30.5,342.75
671.0,33.5,503.25
835.0,35.8,626.25
933.0,37.5,699.75
952.0,38.2,714.0
895.0,38.6,671.25
765.0,38.7,573.75
575.0,38.2,431.25
346.0,37.1,259.5
118.0,34.0,88.5
3.0,30.4,2.25
0.0,30.5,0.0
0.0,28.0,0.0
0.0,27.8,0.0
0.0,25.4,0.0
0.0,24.5,0.0
0.0,26.5,0.0
0.0,24.5,0.0
0.0,23.1,0.0
0.0,21.8,0.0
0.0,22.6,0.0
0.0,26.5,0.0
36.0,26.1,27.0
225.0,28.4,168.75
444.0,31.4,333.0
644.0,34.0,483.0
780.0,36.6,585.0
930.0,37.8,697.5
939.0,38.3,704.25
871.0,38.7,653.25
669.0,38.8,501.75
529.0,38.7,396.75
253.0,37.5,189.75
101.0,34.8,75.75
3.0,33.0,2.25
0.0,29.9,0.0
0.0,30.0,0.0
0.0,28.9,0.0
0.0,25.9,0.0
0.0,26.7,0.0
0.0,27.3,0.0
0.0,27.1,0.0
0.0,23.6,0.0
0.0,22.5,0.0
0.0,21.2,0.0
0.0,21.4,0.0
38.0,22.8,28.5
226.0,26.8,169.5
454.0,30.9,340.5
663.0,33.4,497.25
831.0,35.5,623.25
932.0,37.1,699.0
953.0,38.1,714.75
896.0,38.8,672.0
766.0,39.2,574.5
576.0,38.9,432.0
346.0,37.7,259.5
120.0,34.4,90.0
4.0,30.9,3.0
0.0,28.2,0.0
0.0,27.6,0.0
0.0,26.6,0.0
0.0,25.4,0.0
0.0,24.5,0.0
0.0,23.0,0.0
0.0,22.7,0.0
0.0,22.0,0.0
0.0,23.6,0.0
0.0,23.3,0.0
0.0,23.5,0.0
40.0,22.7,30.0
231.0,26.5,173.25
466.0,29.7,349.5
678.0,32.2,508.5
839.0,34.5,629.25
932.0,36.5,699.0
949.0,37.9,711.75
890.0,38.6,667.5
759.0,39.0,569.25
570.0,39.0,427.5
341.0,37.7,255.75
115.0,35.0,86.25
4.0,32.2,3.0
0.0,30.2,0.0
0.0,28.0,0.0
0.0,27.0,0.0
0.0,27.0,0.0
0.0,27.0,0.0
0.0,25.6,0.0
0.0,24.9,0.0
0.0,24.5,0.0
0.0,23.4,0.0
0.0,22.5,0.0
0.0,25.2,0.0
40.0,26.1,30.0
229.0,28.4,171.75
458.0,30.4,343.5
667.0,32.5,500.25
824.0,34.5,618.0
901.0,36.3,675.75
821.0,37.1,615.75
802.0,37.9,601.5
753.0,38.5,564.75
568.0,38.2,426.0
344.0,37.2,258.0
120.0,34.2,90.0
4.0,31.0,3.0
0.0,30.1,0.0
0.0,28.5,0.0
0.0,26.8,0.0
0.0,25.9,0.0
0.0,24.4,0.0
0.0,26.0,0.0
0.0,25.7,0.0
0.0,23.0,0.0
0.0,22.1,0.0
0.0,21.4,0.0
0.0,22.6,0.0
43.0,24.3,32.25
233.0,27.5,174.75
465.0,30.4,348.75
675.0,33.5,506.25
836.0,36.2,627.0
931.0,38.0,698.25
951.0,39.0,713.25
892.0,39.5,669.0
761.0,39.6,570.75
571.0,39.5,428.25
344.0,39.2,258.0
121.0,35.1,90.75
4.0,32.8,3.0
0.0,31.2,0.0
0.0,29.5,0.0
0.0,28.2,0.0
0.0,27.2,0.0
0.0,29.4,0.0
0.0,25.8,0.0
0.0,24.5,0.0
0.0,23.9,0.0
0.0,22.8,0.0
0.0,22.8,0.0
0.0,23.6,0.0
44.0,24.9,33.0
233.0,28.1,174.75
462.0,31.7,346.5
669.0,34.5,501.75
826.0,36.7,619.5
917.0,38.0,687.75
933.0,38.9,699.75
874.0,39.5,655.5
746.0,39.7,559.5
560.0,39.5,420.0
336.0,38.7,252.0
116.0,36.6,87.0
4.0,33.9,3.0
0.0,32.1,0.0
0.0,30.0,0.0
0.0,29.0,0.0
0.0,28.5,0.0
0.0,27.8,0.0
0.0,26.5,0.0
0.0,26.6,0.0
0.0,25.5,0.0
0.0,25.1,0.0
0.0,24.9,0.0
0.0,25.5,0.0
30.0,26.5,22.5
230.0,29.1,172.5
459.0,32.0,344.25
664.0,34.7,498.0
820.0,37.0,615.0
910.0,38.6,682.5
928.0,39.7,696.0
855.0,40.4,641.25
723.0,41.0,542.25
523.0,41.0,392.25
301.0,39.9,225.75
116.0,36.9,87.0
4.0,34.4,3.0
0.0,32.8,0.0
0.0,31.4,0.0
0.0,29.6,0.0
0.0,28.2,0.0
0.0,27.2,0.0
0.0,26.9,0.0
0.0,26.5,0.0
0.0,25.9,0.0
0.0,25.2,0.0
0.0,25.0,0.0
0.0,25.9,0.0
46.0,27.0,34.5
235.0,29.9,176.25
461.0,32.7,345.75
666.0,35.3,499.5
821.0,37.5,615.75
911.0,39.2,683.25
927.0,40.4,695.25
755.0,41.2,566.25
632.0,41.3,474.0
512.0,40.6,384.0
327.0,39.8,245.25
116.0,36.9,87.0
4.0,34.2,3.0
0.0,32.7,0.0
0.0,30.1,0.0
0.0,29.2,0.0
0.0,28.5,0.0
0.0,28.0,0.0
0.0,27.5,0.0
0.0,27.0,0.0
0.0,26.4,0.0
0.0,25.8,0.0
0.0,25.5,0.0
0.0,26.1,0.0
48.0,27.2,36.0
210.0,29.9,157.5
429.0,32.3,321.75
605.0,34.5,453.75
725.0,36.3,543.75
749.0,37.7,561.75
857.0,39.1,642.75
857.0,40.2,642.75
713.0,40.8,534.75
519.0,40.2,389.25
315.0,39.1,236.25
118.0,36.6,88.5
4.0,34.0,3.0
0.0,32.6,0.0
0.0,30.8,0.0
0.0,29.2,0.0
0.0,28.2,0.0
0.0,27.6,0.0
0.0,26.9,0.0
0.0,26.1,0.0
0.0,26.1,0.0
0.0,25.0,0.0
0.0,24.6,0.0
0.0,25.0,0.0
50.0,26.6,37.5
238.0,29.6,178.5
427.0,31.9,320.25
637.0,34.0,477.75
828.0,36.0,621.0
918.0,37.7,688.5
934.0,39.2,700.5
867.0,39.8,650.25
750.0,39.6,562.5
562.0,39.0,421.5
340.0,38.1,255.0
120.0,35.0,90.0
5.0,32.5,3.75
0.0,31.2,0.0
0.0,30.1,0.0
0.0,29.5,0.0
0.0,28.3,0.0
0.0,27.0,0.0
0.0,25.9,0.0
0.0,25.2,0.0
0.0,25.0,0.0
0.0,25.0,0.0
0.0,25.4,0.0
0.0,25.0,0.0
53.0,26.5,39.75
250.0,28.5,187.5
479.0,30.6,359.25
685.0,32.9,513.75
841.0,34.9,630.75
932.0,36.4,699.0
948.0,37.5,711.0
887.0,38.5,665.25
758.0,38.7,568.5
574.0,38.2,430.5
352.0,37.3,264.0
125.0,34.2,93.75
5.0,31.2,3.75
0.0,29.4,0.0
0.0,28.2,0.0
0.0,28.0,0.0
0.0,26.4,0.0
0.0,25.9,0.0
0.0,24.4,0.0
0.0,23.9,0.0
0.0,23.5,0.0
0.0,22.9,0.0
0.0,22.2,0.0
0.0,23.1,0.0
53.0,25.4,39.75
249.0,28.0,186.75
487.0,30.6,365.25
693.0,33.0,519.75
848.0,35.1,636.0
938.0,36.8,703.5
952.0,38.1,714.0
891.0,39.3,668.25
763.0,39.8,572.25
578.0,39.0,433.5
352.0,37.7,264.0
125.0,34.5,93.75
5.0,32.7,3.75
0.0,31.0,0.0
0.0,28.6,0.0
0.0,27.2,0.0
0.0,26.2,0.0
0.0,25.2,0.0
0.0,25.1,0.0
0.0,24.8,0.0
0.0,24.1,0.0
0.0,23.6,0.0
0.0,23.1,0.0
0.0,24.0,0.0
58.0,25.2,43.5
257.0,28.0,192.75
488.0,30.7,366.0
693.0,33.3,519.75
846.0,35.7,634.5
917.0,37.5,687.75
918.0,38.8,688.5
852.0,39.8,639.0
749.0,40.0,561.75
475.0,39.0,356.25
286.0,37.8,214.5
108.0,35.2,81.0
5.0,31.8,3.75
0.0,31.3,0.0
0.0,30.0,0.0
0.0,29.5,0.0
0.0,27.7,0.0
0.0,26.5,0.0
0.0,25.5,0.0
0.0,24.7,0.0
0.0,24.1,0.0
0.0,23.9,0.0
0.0,23.8,0.0
0.0,23.5,0.0
61.0,25.0,45.75
262.0,27.9,196.5
495.0,30.4,371.25
700.0,32.7,525.0
854.0,34.8,640.5
944.0,36.5,708.0
960.0,37.8,720.0
899.0,38.8,674.25
767.0,38.9,575.25
577.0,38.4,432.75
349.0,37.5,261.75
128.0,34.7,96.0
5.0,34.4,3.75
0.0,31.0,0.0
0.0,28.4,0.0
0.0,27.2,0.0
0.0,26.9,0.0
0.0,26.5,0.0
0.0,25.9,0.0
0.0,24.9,0.0
0.0,24.5,0.0
0.0,24.3,0.0
0.0,23.9,0.0
0.0,24.5,0.0
60.0,26.1,45.0
247.0,29.4,185.25
455.0,31.9,341.25
621.0,33.9,465.75
792.0,35.8,594.0
907.0,37.5,680.25
948.0,38.7,711.0
892.0,39.3,669.0
763.0,39.5,572.25
573.0,38.9,429.75
349.0,37.8,261.75
124.0,35.0,93.0
5.0,32.0,3.75
0.0,30.9,0.0
0.0,30.7,0.0
0.0,29.0,0.0
0.0,28.0,0.0
0.0,27.0,0.0
0.0,26.2,0.0
0.0,25.1,0.0
0.0,24.9,0.0
0.0,25.0,0.0
0.0,24.6,0.0
0.0,25.9,0.0
62.0,26.9,46.5
262.0,29.2,196.5
491.0,31.8,368.25
694.0,34.4,520.5
847.0,36.6,635.25
938.0,38.3,703.5
953.0,39.2,714.75
893.0,39.6,669.75
757.0,39.8,567.75
565.0,39.3,423.75
336.0,38.2,252.0
125.0,36.2,93.75
6.0,33.7,4.5
0.0,32.3,0.0
0.0,30.6,0.0
0.0,29.5,0.0
0.0,28.8,0.0
0.0,28.8,0.0
0.0,28.0,0.0
0.0,27.1,0.0
0.0,26.7,0.0
0.0,26.3,0.0
0.0,25.6,0.0
0.0,26.0,0.0
63.0,28.1,47.25
270.0,30.7,202.5
494.0,33.2,370.5
705.0,35.2,528.75
