Solar_Radiation (W/m2),Temperature (C),Energy_Generated_kWh
0.0,22.5,0.0
0.0,21.9,0.0
0.0,21.5,0.0
0.0,21.0,0.0
0.0,20.6,0.0
0.0,20.2,0.0
0.0,19.8,0.0
0.0,20.0,0.0
1.0,19.8,0.75
80.0,21.9,60.0
263.0,24.7,197.25
447.0,27.2,335.25
591.0,29.2,443.25
677.0,30.6,507.75
694.0,31.5,520.5
643.0,31.8,482.25
520.0,31.9,390.0
338.0,31.2,253.5
162.0,30.0,121.5
23.0,28.1,17.25
0.0,27.0,0.0
0.0,25.8,0.0
0.0,25.0,0.0
0.0,24.2,0.0
0.0,23.4,0.0
0.0,22.5,0.0
0.0,21.7,0.0
0.0,21.1,0.0
0.0,20.9,0.0
0.0,20.4,0.0
0.0,19.9,0.0
0.0,20.5,0.0
1.0,20.0,0.75
81.0,22.0,60.75
265.0,24.6,198.75
451.0,26.9,338.25
599.0,28.8,449.25
688.0,30.2,516.0
707.0,31.1,530.25
657.0,31.5,492.75
542.0,31.5,406.5
374.0,31.0,280.5
179.0,29.5,134.25
25.0,26.5,18.75
0.0,25.0,0.0
0.0,24.1,0.0
0.0,23.1,0.0
0.0,21.6,0.0
0.0,20.3,0.0
0.0,19.4,0.0
0.0,18.6,0.0
0.0,18.0,0.0
0.0,17.8,0.0
0.0,17.5,0.0
0.0,16.7,0.0
0.0,16.5,0.0
1.0,16.1,0.75
84.0,18.6,63.0
276.0,21.4,207.0
467.0,24.0,350.25
618.0,26.2,463.5
708.0,27.8,531.0
728.0,28.8,546.0
678.0,29.2,508.5
560.0,29.2,420.0
388.0,28.6,291.0
188.0,26.8,141.0
27.0,23.0,20.25
0.0,22.1,0.0
0.0,21.0,0.0
0.0,19.1,0.0
0.0,18.0,0.0
0.0,17.6,0.0
0.0,17.0,0.0
0.0,16.1,0.0
0.0,15.8,0.0
0.0,15.4,0.0
0.0,14.9,0.0
0.0,14.1,0.0
0.0,14.1,0.0
1.0,15.3,0.75
87.0,16.5,65.25
284.0,19.2,213.0
480.0,21.8,360.0
633.0,24.0,474.75
724.0,25.8,543.0
746.0,26.6,559.5
694.0,27.1,520.5
575.0,27.2,431.25
401.0,27.0,300.75
197.0,25.2,147.75
29.0,21.7,21.75
0.0,20.7,0.0
0.0,19.0,0.0
0.0,19.7,0.0
0.0,20.6,0.0
0.0,20.1,0.0
0.0,17.0,0.0
0.0,15.6,0.0
0.0,15.1,0.0
0.0,14.5,0.0
0.0,14.4,0.0
0.0,14.6,0.0
0.0,16.5,0.0
1.0,14.1,0.75
86.0,16.9,64.5
282.0,19.8,211.5
476.0,22.5,357.0
629.0,24.8,471.75
720.0,26.4,540.0
741.0,27.1,555.75
689.0,27.6,516.75
570.0,27.8,427.5
395.0,27.5,296.25
193.0,26.1,144.75
29.0,22.5,21.75
0.0,21.8,0.0
0.0,19.8,0.0
0.0,18.8,0.0
0.0,17.6,0.0
0.0,16.8,0.0
0.0,16.4,0.0
0.0,15.6,0.0
0.0,15.6,0.0
0.0,16.2,0.0
0.0,15.6,0.0
0.0,14.3,0.0
0.0,14.9,0.0
1.0,14.4,0.75
86.0,17.1,64.5
280.0,20.5,210.0
473.0,23.5,354.75
624.0,25.4,468.0
715.0,26.4,536.25
737.0,27.0,552.75
686.0,27.4,514.5
569.0,27.5,426.75
398.0,27.2,298.5
196.0,25.9,147.0
30.0,22.2,22.5
0.0,20.9,0.0
0.0,19.6,0.0
0.0,18.9,0.0
0.0,18.9,0.0
0.0,18.6,0.0
0.0,17.8,0.0
0.0,17.1,0.0
0.0,16.2,0.0
0.0,15.6,0.0
0.0,15.4,0.0
0.0,14.6,0.0
0.0,14.8,0.0
1.0,15.1,0.75
86.0,17.1,64.5
281.0,20.2,210.75
476.0,23.2,357.0
629.0,25.2,471.75
722.0,26.6,541.5
746.0,27.5,559.5
695.0,28.2,521.25
576.0,28.4,432.0
403.0,28.1,302.25
200.0,26.8,150.0
31.0,22.5,23.25
0.0,22.1,0.0
0.0,21.6,0.0
0.0,20.8,0.0
0.0,19.9,0.0
0.0,19.0,0.0
0.0,18.0,0.0
0.0,17.6,0.0
0.0,17.4,0.0
0.0,16.9,0.0
0.0,16.3,0.0
0.0,15.8,0.0
0.0,16.1,0.0
1.0,15.9,0.75
82.0,17.8,61.5
272.0,20.8,204.0
462.0,24.0,346.5
614.0,26.4,460.5
705.0,27.9,528.75
717.0,28.9,537.75
552.0,28.9,414.0
459.0,28.6,344.25
359.0,28.4,269.25
194.0,27.6,145.5
32.0,24.6,24.0
0.0,23.6,0.0
0.0,22.6,0.0
0.0,21.5,0.0
0.0,20.6,0.0
0.0,19.9,0.0
0.0,19.1,0.0
0.0,18.5,0.0
0.0,17.9,0.0
0.0,17.3,0.0
0.0,16.8,0.0
0.0,16.2,0.0
0.0,16.2,0.0
1.0,15.9,0.75
85.0,17.5,63.75
277.0,20.1,207.75
471.0,22.9,353.25
624.0,25.3,468.0
716.0,27.0,537.0
739.0,28.0,554.25
690.0,28.2,517.5
574.0,28.1,430.5
403.0,27.6,302.25
201.0,26.3,150.75
34.0,23.8,25.5
0.0,22.4,0.0
0.0,21.5,0.0
0.0,20.5,0.0
0.0,19.4,0.0
0.0,18.5,0.0
0.0,17.7,0.0
0.0,17.0,0.0
0.0,16.4,0.0
0.0,15.9,0.0
0.0,15.6,0.0
0.0,15.1,0.0
0.0,15.4,0.0
1.0,15.0,0.75
87.0,17.0,65.25
283.0,19.9,212.25
479.0,22.9,359.25
633.0,25.3,474.75
728.0,27.0,546.0
752.0,28.0,564.0
703.0,28.4,527.25
583.0,28.4,437.25
413.0,27.9,309.75
209.0,26.4,156.75
35.0,23.6,26.25
0.0,22.2,0.0
0.0,21.4,0.0
0.0,20.5,0.0
0.0,19.5,0.0
0.0,18.6,0.0
0.0,18.0,0.0
0.0,17.5,0.0
0.0,17.0,0.0
0.0,16.4,0.0
0.0,15.7,0.0
0.0,14.9,0.0
0.0,14.4,0.0
1.0,13.9,0.75
88.0,16.8,66.0
286.0,20.0,214.5
482.0,23.1,361.5
636.0,25.5,477.0
726.0,27.0,544.5
734.0,27.8,550.5
702.0,28.5,526.5
586.0,28.6,439.5
413.0,28.2,309.75
210.0,26.6,157.5
36.0,23.5,27.0
0.0,22.5,0.0
0.0,21.4,0.0
0.0,20.4,0.0
0.0,19.2,0.0
0.0,18.1,0.0
0.0,17.1,0.0
0.0,16.5,0.0
0.0,15.6,0.0
0.0,15.3,0.0
0.0,15.2,0.0
0.0,14.9,0.0
0.0,14.9,0.0
1.0,14.9,0.75
90.0,17.5,67.5
292.0,20.7,219.0
493.0,24.0,369.75
650.0,26.3,487.5
746.0,27.5,559.5
770.0,27.9,577.5
719.0,28.0,539.25
600.0,28.0,450.0
424.0,27.5,318.0
217.0,26.1,162.75
38.0,22.0,28.5
0.0,21.6,0.0
0.0,20.6,0.0
0.0,20.0,0.0
0.0,18.7,0.0
0.0,17.6,0.0
0.0,16.9,0.0
0.0,15.6,0.0
0.0,15.4,0.0
0.0,15.2,0.0
0.0,15.1,0.0
0.0,14.6,0.0
0.0,14.5,0.0
1.0,14.3,0.75
91.0,17.0,68.25
292.0,20.5,219.0
491.0,24.1,368.25
648.0,26.5,486.0
744.0,27.5,558.0
769.0,28.0,576.75
720.0,28.2,540.0
602.0,28.2,451.5
428.0,27.8,321.0
220.0,26.4,165.0
40.0,22.6,30.0
0.0,21.6,0.0
0.0,20.4,0.0
0.0,19.0,0.0
0.0,18.5,0.0
0.0,18.7,0.0
0.0,17.8,0.0
0.0,15.9,0.0
0.0,14.6,0.0
0.0,13.8,0.0
0.0,13.2,0.0
0.0,13.4,0.0
0.0,13.9,0.0
1.0,14.1,0.75
89.0,17.6,66.75
292.0,21.2,219.0
492.0,24.5,369.0
650.0,27.1,487.5
747.0,28.1,560.25
772.0,28.6,579.0
723.0,28.9,542.25
605.0,29.0,453.75
430.0,28.5,322.5
222.0,27.0,166.5
41.0,22.5,30.75
0.0,21.5,0.0
0.0,19.7,0.0
0.0,18.7,0.0
0.0,17.7,0.0
0.0,16.5,0.0
0.0,15.6,0.0
0.0,14.9,0.0
0.0,14.8,0.0
0.0,15.9,0.0
0.0,16.6,0.0
0.0,16.0,0.0
0.0,16.0,0.0
1.0,15.6,0.75
91.0,18.0,68.25
295.0,21.1,221.25
495.0,24.2,371.25
652.0,26.9,489.0
747.0,29.0,560.25
772.0,30.1,579.0
723.0,30.6,542.25
605.0,30.5,453.75
431.0,30.0,323.25
224.0,28.3,168.0
43.0,24.5,32.25
0.0,23.0,0.0
0.0,22.0,0.0
0.0,20.5,0.0
0.0,19.2,0.0
0.0,18.2,0.0
0.0,17.3,0.0
0.0,16.2,0.0
0.0,15.1,0.0
0.0,14.8,0.0
0.0,15.3,0.0
0.0,15.1,0.0
0.0,15.5,0.0
1.0,15.1,0.75
91.0,16.8,68.25
293.0,20.9,219.75
495.0,26.0,371.25
654.0,28.8,490.5
751.0,30.5,563.25
776.0,31.5,582.0
726.0,32.0,544.5
606.0,32.0,454.5
431.0,31.6,323.25
222.0,29.5,166.5
43.0,25.2,32.25
0.0,22.8,0.0
0.0,21.5,0.0
0.0,20.4,0.0
0.0,19.6,0.0
0.0,18.5,0.0
0.0,18.0,0.0
0.0,17.2,0.0
0.0,16.6,0.0
0.0,16.2,0.0
0.0,15.4,0.0
0.0,14.8,0.0
0.0,14.8,0.0
1.0,14.9,0.75
92.0,18.5,69.0
293.0,22.1,219.75
494.0,25.2,370.5
653.0,28.0,489.75
749.0,29.7,561.75
773.0,30.6,579.75
723.0,31.2,542.25
606.0,31.4,454.5
