Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
CL=F,NG=F,ZC=F,CL=F,NG=F,ZC=F,CL=F,NG=F,ZC=F,CL=F,NG=F,ZC=F,CL=F,NG=F,ZC=F
69.23999786376953,3.6559998989105225,447.75,69.94000244140625,3.944000005722046,448.25,68.58999633789062,3.5810000896453857,445.25,69.4000015258789,3.86899995803833,446.0,188843,125622,132878.0
70.0999984741211,3.946000099182129,448.5,70.43000030517578,3.9579999446868896,448.75,69.36000061035156,3.6659998893737793,446.75,69.55999755859375,3.694999933242798,447.25,122602,66852,88153.0
69.62000274658203,3.7149999141693115,453.75,70.75,4.010000228881836,454.25,69.33000183105469,3.6519999504089355,448.5,70.19999694824219,3.9700000286102295,448.5,144877,67209,176165.0
70.5999984741211,3.5139999389648438,454.0,70.75,3.88700008392334,455.0,69.44000244140625,3.369999885559082,452.25,69.68000030517578,3.7070000171661377,453.25,172641,189959,162024.0
70.98999786376953,3.936000108718872,452.25,71.55999755859375,4.201000213623047,458.5,70.12000274658203,3.6480000019073486,449.75,70.41999816894531,3.6570000648498535,453.75,199296,374324,217069.0
71.72000122070312,3.632999897003174,458.5,72.0199966430664,4.01200008392334,459.0,70.87000274658203,3.5769999027252197,452.0,71.1500015258789,3.9149999618530273,452.25,151155,184552,172882.0
73.12999725341797,3.6600000858306885,459.5,73.7300033569336,3.8010001182556152,459.75,71.79000091552734,3.5409998893737793,456.25,71.8499984741211,3.6559998989105225,457.25,306498,156670,163449.0
73.95999908447266,3.3540000915527344,450.75,74.3499984741211,3.680000066757202,459.75,72.69999694824219,3.3299999237060547,449.25,73.12999725341797,3.6689999103546143,459.5,296040,188094,199340.0
73.55999755859375,3.671999931335449,457.75,74.98999786376953,3.7260000705718994,460.25,73.19999694824219,3.502000093460083,451.5,74.05000305175781,3.553999900817871,451.5,306042,228124,227403.0
74.25,3.4489998817443848,458.0,74.52999877929688,3.73799991607666,458.5,73.11000061035156,3.427000045776367,453.0,73.44000244140625,3.7049999237060547,456.0,277328,182148,211629.0
73.31999969482422,3.6510000228881836,454.0,75.29000091552734,3.694000005722046,459.25,73.16000366210938,3.427000045776367,453.5,74.5199966430664,3.447999954223633,457.75,328617,189259,192588.0
73.91999816894531,3.7009999752044678,456.0,74.31999969482422,3.8299999237060547,457.25,72.83999633789062,3.552000045776367,453.5,73.31999969482422,3.681999921798706,454.0,213421,145203,157712.0
76.56999969482422,3.989000082015991,470.5,77.86000061035156,4.01800012588501,472.5,74.0199966430664,3.684999942779541,455.75,74.29000091552734,3.7090001106262207,456.0,478432,229112,467086.0
78.81999969482422,3.934000015258789,476.5,79.2699966430664,4.36899995803833,477.0,76.54000091552734,3.8450000286102295,469.25,76.54000091552734,4.3470001220703125,469.75,460942,195514,376883.0
77.5,3.9679999351501465,474.5,79.08999633789062,4.059000015258789,479.75,77.41000366210938,3.7360000610351562,473.5,78.81999969482422,3.930000066757202,475.5,326729,167416,278017.0
80.04000091552734,4.083000183105469,478.75,80.7699966430664,4.140999794006348,479.5,77.23999786376953,3.8589999675750732,474.0,78.02999877929688,3.9549999237060547,474.25,321422,169338,218140.0
78.68000030517578,4.257999897003174,474.5,80.58999633789062,4.328000068664551,479.0,77.87000274658203,4.01800012588501,473.25,80.4000015258789,4.130000114440918,478.75,159948,193018,209824.0
77.87999725341797,3.947999954223633,484.25,79.44000244140625,4.308000087738037,485.0,77.76000213623047,3.9100000858306885,474.0,78.75,4.28000020980835,474.0,112409,204277,305007.0
75.88999938964844,3.75600004196167,490.0,78.47000122070312,3.9140000343322754,490.5,75.48999786376953,3.7190001010894775,482.5,78.19000244140625,3.815000057220459,484.25,568807,209907,295105.0
75.44000244140625,3.9600000381469727,484.25,76.44999694824219,4.008999824523926,492.25,75.27999877929688,3.7109999656677246,482.5,75.87999725341797,3.7860000133514404,489.5,315333,128783,264538.0
74.62000274658203,3.944999933242798,489.75,76.0,4.047999858856201,494.5,74.13999938964844,3.8610000610351562,480.5,75.38999938964844,4.000999927520752,484.25,350688,120839,250550.0
74.66000366210938,4.0269999504089355,486.5,75.20999908447266,4.050000190734863,489.5,74.01000213623047,3.808000087738037,483.5,74.30000305175781,3.933000087738037,487.0,319679,87568,208959.0
73.16999816894531,3.697000026702881,482.0,75.1500015258789,3.8269999027252197,484.75,72.37999725341797,3.6089999675750732,477.75,74.54000091552734,3.7850000858306885,484.5,334418,66940,216234.0
73.7699966430664,3.4709999561309814,485.25,74.30999755859375,3.7200000286102295,489.25,72.93000030517578,3.3610000610351562,481.0,73.1500015258789,3.6989998817443848,482.25,326075,63816,225855.0
72.62000274658203,3.5350000858306885,497.0,74.08000183105469,3.5880000591278076,497.5,72.33000183105469,3.312999963760376,485.0,73.94999694824219,3.3350000381469727,485.0,312733,167840,277207.0
72.7300033569336,3.046999931335449,490.25,73.83999633789062,3.240000009536743,497.0,72.0199966430664,3.0350000858306885,490.0,73.0,3.174999952316284,496.25,336475,201741,218110.0
72.52999877929688,3.0439999103546143,482.0,73.83999633789062,3.118000030517578,488.75,71.94000244140625,2.990000009536743,479.25,73.19999694824219,3.0810000896453857,488.25,376335,138212,318483.0
73.16000366210938,3.3519999980926514,488.75,75.18000030517578,3.4070000648498535,491.0,72.05000305175781,3.2300000190734863,472.5,74.13999938964844,3.2300000190734863,476.75,517853,273510,322166.0
72.69999694824219,3.253000020980835,494.5,73.3499984741211,3.3499999046325684,497.25,70.66999816894531,3.1679999828338623,487.25,72.3499984741211,3.3269999027252197,488.0,452961,182531,279780.0
